window_transition,js_divergence
1992-1993->1994-1995,0.07904005695854485
1994-1995->1996-1997,0.0475134420887449
1996-1997->1998-1999,0.03055782590226924
1998-1999->2000-2001,0.02007007174513879
2000-2001->2002-2003,0.03128898221833475
2002-2003->2004-2005,0.018109934070697123
2004-2005->2006-2007,0.020939798948161305
2006-2007->2008-2009,0.017072281453080873
2008-2009->2010-2011,0.021046992293375293
2010-2011->2012-2013,0.024477993644778887
2012-2013->2014-2015,0.04273643984844401
2014-2015->2016-2017,0.03790857410961735
2016-2017->2018-2019,0.02907844618229911
2018-2019->2020-2021,0.011295869071159504
