,IRAMUTEQ_T1,IRAMUTEQ_T2,IRAMUTEQ_T3,IRAMUTEQ_T4,IRAMUTEQ_T5,IRAMUTEQ_T6,IRAMUTEQ_T7,IRAMUTEQ_T8,IRAMUTEQ_T9,IRAMUTEQ_T10,IRAMUTEQ_T11,IRAMUTEQ_T12,IRAMUTEQ_T13,IRAMUTEQ_T14,IRAMUTEQ_T15,IRAMUTEQ_T16,IRAMUTEQ_T17,IRAMUTEQ_T18,IRAMUTEQ_T19,IRAMUTEQ_T20
LDA_T0,314,329,1945,2681,149,198,2810,1280,2302,1407,797,1410,1108,238,925,2118,2424,227,2290,2187
LDA_T1,18,89,486,443,21,24,819,301,624,480,278,295,163,60,206,628,1003,60,334,305
LDA_T2,80,33,315,223,4,32,508,334,373,401,238,283,199,28,203,637,695,35,379,432
LDA_T3,43,20,135,133,2,12,309,169,174,218,117,156,60,12,92,199,471,22,201,153
LDA_T4,8,11,178,172,10,5,328,377,205,296,174,276,182,25,95,239,375,20,356,448
LDA_T5,7,17,191,241,5,10,239,89,236,133,82,255,182,25,134,268,166,9,304,395
LDA_T6,22,9,111,86,3,9,133,103,112,106,65,119,65,6,48,112,139,9,154,180
LDA_T7,13,20,135,108,6,8,278,187,212,390,144,165,128,19,91,198,298,15,251,226
LDA_T8,9,22,210,204,5,13,549,343,305,488,279,351,216,35,151,335,538,32,554,611
LDA_T9,12,14,127,152,5,23,239,189,189,262,140,176,109,31,61,206,283,30,312,302
LDA_T10,13,18,154,196,8,21,336,166,222,218,100,210,123,36,103,385,332,14,262,263
LDA_T11,20,88,403,338,33,23,682,678,395,596,271,550,321,27,225,423,730,58,677,785
LDA_T12,10,3,108,63,4,13,203,146,97,196,104,156,75,9,61,125,255,10,167,219
LDA_T13,7,13,138,102,3,9,269,299,169,266,157,235,108,16,57,182,266,8,294,356
LDA_T14,12,17,119,128,4,6,136,169,129,194,74,117,74,17,41,121,146,8,202,207
LDA_T15,3,9,131,118,3,8,193,163,128,152,106,137,115,16,63,141,191,10,341,248
LDA_T16,51,45,621,587,46,25,967,1178,730,997,739,1441,1096,52,312,840,828,42,2300,2237
LDA_T17,32,32,319,399,32,25,597,505,351,780,469,979,680,36,161,414,563,21,1234,1051
LDA_T18,16,32,255,206,4,17,587,416,328,470,242,266,168,23,138,432,734,35,435,492
LDA_T19,14,29,377,370,16,28,545,457,485,458,261,276,190,44,235,485,582,44,441,411
